
label,message
ham,Hey are we still meeting today
ham,Can you send me the notes from class
ham,I will call you after reaching home
ham,Please remember to bring your notebook
ham,Are you coming to the party tonight
ham,Your appointment is confirmed for tomorrow
ham,Thanks for helping me with the project
ham,Let us meet near the library at five
ham,Did you finish your assignment
ham,Happy birthday have a wonderful day
ham,Please buy some milk on your way home
ham,I am running late but will be there soon
ham,The meeting has been moved to Monday
ham,Can you help me with this question
ham,Your food delivery has arrived
ham,I will message you when I reach
ham,The train is delayed by ten minutes
ham,Good morning have a great day
ham,Please share the presentation file
ham,We should discuss the project tomorrow
spam,Congratulations you have won a free prize claim now
spam,You have been selected for a cash reward click here
spam,URGENT you won a lottery prize call immediately
spam,Win free tickets by clicking this special link
spam,You have received a bonus reward verify your account
spam,Claim your free gift before the offer expires
spam,Exclusive offer buy now and get free cash
spam,You are a lucky winner send your details
spam,Get rich quickly with this amazing opportunity
spam,Free entry in our prize competition reply YES
spam,Your account has won a reward click to collect
spam,Limited time offer claim your free voucher
spam,You have been chosen for a special promotion
spam,Act now to receive your guaranteed cash prize
spam,Winner notification contact us to claim reward
spam,Get a free mobile phone by registering today
spam,Special discount offer click the link now
spam,You won a surprise gift provide your information
spam,Claim your exclusive reward immediately
spam,Free money available apply now
